,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weekly schedule planner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Week of:,,,,,12/8/2025,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weekly objectives,,,,,,,,,,,,,To do items,,,,,,,,,,,,,Deadlines this week,,,,,,,,,,,,,
,,Run 3 miles,,,,,,,,,,,,,,Take FiFi to vet,,,,,,,,,,,,Presentation on Thursday,,,,,,,,,,,,,
,,Read 30 min/day,,,,,,,,,,,,,,Go grocery shopping,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stretch,,,,,,,,,,,,,,Pick up dry cleaning,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,08,,Monday,,,,09,,Tuesday,,,10,,Wednesday,,,11,,Thursday,,,12,,Friday,,,13,,Saturday,,,14,,Sunday,,,,,,
,,,,December,,,,,,December,,,,,December,,,,,December,,,,,December,,,,,December,,,,,December,,,,,,
,,✔,Run,,,,,✔,Run,,,,✖,Run,,,,,Run,,,,,Run,,,,,Run,,,,,Run,,,,,,,
,,✖,Read,,,,,✔,Read,,,,✔,Read,,,,,Read,,,,,Read,,,,,Read,,,,,Read,,,,,,,
,,✔,Stretch,,,,,✔,Stretch,,,,✖,Stretch,,,,,Stretch,,,,,Stretch,,,,,Stretch,,,,,Stretch,,,,,,,
,,,,,,,,✔,Go to vet,,,,✔,Shopping,,,,,Present,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,✔,Rehearse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
